Volatility 3 Framework 2.7.1

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

4	0	System	0x800506eff040	298	-	N/A	False	2024-07-13 17:30:09.000000 	N/A	Disabled
108	4	Secure System	0x80050804a040	0	-	N/A	False	2024-07-13 17:30:06.000000 	N/A	Disabled
152	4	Registry	0x8005080e0040	4	-	N/A	False	2024-07-13 17:30:06.000000 	N/A	Disabled
596	4	smss.exe	0x800524c83040	2	-	N/A	False	2024-07-13 17:30:09.000000 	N/A	Disabled
832	740	csrss.exe	0x800527c9b140	13	-	0	False	2024-07-13 17:30:17.000000 	N/A	Disabled
920	740	wininit.exe	0x80052afa2080	2	-	0	False	2024-07-13 17:30:17.000000 	N/A	Disabled
940	912	csrss.exe	0x80052c00f140	15	-	1	False	2024-07-13 17:30:17.000000 	N/A	Disabled
1020	920	services.exe	0x80052c07d080	6	-	0	False	2024-07-13 17:30:17.000000 	N/A	Disabled
516	912	winlogon.exe	0x80052c09d080	3	-	1	False	2024-07-13 17:30:17.000000 	N/A	Disabled
712	920	WerFault.exe	0x80052c0c3080	0	-	0	False	2024-07-13 17:30:17.000000 	2024-07-13 17:30:29.000000 	Disabled
792	920	LsaIso.exe	0x80052c0cd080	1	-	0	False	2024-07-13 17:30:17.000000 	N/A	Disabled
740	920	lsass.exe	0x80052c0cc080	8	-	0	False	2024-07-13 17:30:17.000000 	N/A	Disabled
1140	1020	svchost.exe	0x80052c17b080	11	-	0	False	2024-07-13 17:30:17.000000 	N/A	Disabled
1172	516	fontdrvhost.ex	0x80052c1980c0	5	-	1	False	2024-07-13 17:30:17.000000 	N/A	Disabled
1180	920	fontdrvhost.ex	0x80052c1a90c0	5	-	0	False	2024-07-13 17:30:17.000000 	N/A	Disabled
1256	1020	svchost.exe	0x80052c209080	10	-	0	False	2024-07-13 17:30:17.000000 	N/A	Disabled
1308	1020	WUDFHost.exe	0x80052c218080	20	-	0	False	2024-07-13 17:30:17.000000 	N/A	Disabled
1360	1020	svchost.exe	0x80052c29f080	7	-	0	False	2024-07-13 17:30:17.000000 	N/A	Disabled
1368	1020	svchost.exe	0x80052c2b30c0	5	-	0	False	2024-07-13 17:30:17.000000 	N/A	Disabled
1504	1020	svchost.exe	0x80052c3bc080	1	-	0	False	2024-07-13 17:30:17.000000 	N/A	Disabled
1500	1020	svchost.exe	0x80052c34b080	3	-	0	False	2024-07-13 17:30:17.000000 	N/A	Disabled
1528	1020	svchost.exe	0x80052c3c2080	4	-	0	False	2024-07-13 17:30:17.000000 	N/A	Disabled
1564	1020	svchost.exe	0x80052c4440c0	12	-	0	False	2024-07-13 17:30:17.000000 	N/A	Disabled
1612	1020	svchost.exe	0x80052c45a080	3	-	0	False	2024-07-13 17:30:17.000000 	N/A	Disabled
1660	1020	svchost.exe	0x80052c4880c0	7	-	0	False	2024-07-13 17:30:17.000000 	N/A	Disabled
1668	1020	svchost.exe	0x80052c491080	7	-	0	False	2024-07-13 17:30:17.000000 	N/A	Disabled
1756	1020	WUDFHost.exe	0x80052c4f3080	11	-	0	False	2024-07-13 17:30:17.000000 	N/A	Disabled
1780	1020	svchost.exe	0x80052c4f9080	9	-	0	False	2024-07-13 17:30:17.000000 	N/A	Disabled
1868	1020	svchost.exe	0x80052c4dc0c0	21	-	0	False	2024-07-13 17:30:17.000000 	N/A	Disabled
1900	1020	svchost.exe	0x80052c4e4080	5	-	0	False	2024-07-13 17:30:17.000000 	N/A	Disabled
1920	1020	svchost.exe	0x80052c4e3080	1	-	0	False	2024-07-13 17:30:17.000000 	N/A	Disabled
1932	1020	svchost.exe	0x80052c5800c0	2	-	0	False	2024-07-13 17:30:17.000000 	N/A	Disabled
1356	516	dwm.exe	0x80052c59f080	23	-	1	False	2024-07-13 17:30:17.000000 	N/A	Disabled
2120	1020	svchost.exe	0x80052c608080	6	-	0	False	2024-07-13 17:30:18.000000 	N/A	Disabled
2148	1020	svchost.exe	0x80052c609080	4	-	0	False	2024-07-13 17:30:18.000000 	N/A	Disabled
2172	1020	IntelCpHDCPSvc	0x80052c64a080	3	-	0	False	2024-07-13 17:30:18.000000 	N/A	Disabled
2244	1020	WUDFHost.exe	0x80052c65e080	5	-	0	False	2024-07-13 17:30:18.000000 	N/A	Disabled
2300	1020	svchost.exe	0x80052c69d080	10	-	0	False	2024-07-13 17:30:18.000000 	N/A	Disabled
2412	1020	svchost.exe	0x80052c72b080	6	-	0	False	2024-07-13 17:30:18.000000 	N/A	Disabled
2424	1020	svchost.exe	0x80052c72e080	11	-	0	False	2024-07-13 17:30:18.000000 	N/A	Disabled
2480	1020	svchost.exe	0x80052c742080	2	-	0	False	2024-07-13 17:30:18.000000 	N/A	Disabled
2492	1020	svchost.exe	0x80052c787080	3	-	0	False	2024-07-13 17:30:18.000000 	N/A	Disabled
2532	1020	svchost.exe	0x80052c73e080	4	-	0	False	2024-07-13 17:30:18.000000 	N/A	Disabled
2552	1020	svchost.exe	0x80052c7b1080	6	-	0	False	2024-07-13 17:30:18.000000 	N/A	Disabled
2680	1020	svchost.exe	0x80052c7ea080	2	-	0	False	2024-07-13 17:30:18.000000 	N/A	Disabled
2804	1020	svchost.exe	0x80052c85a080	5	-	0	False	2024-07-13 17:30:18.000000 	N/A	Disabled
2888	1020	svchost.exe	0x80052c89e080	1	-	0	False	2024-07-13 17:30:18.000000 	N/A	Disabled
2924	1020	svchost.exe	0x80052c8c9080	1	-	0	False	2024-07-13 17:30:18.000000 	N/A	Disabled
3056	1020	svchost.exe	0x80052c913080	7	-	0	False	2024-07-13 17:30:18.000000 	N/A	Disabled
3208	1020	svchost.exe	0x80052c9b1080	6	-	0	False	2024-07-13 17:30:18.000000 	N/A	Disabled
3240	1020	svchost.exe	0x80052c9de080	3	-	0	False	2024-07-13 17:30:18.000000 	N/A	Disabled
3244	1020	svchost.exe	0x80052c9df080	2	-	0	False	2024-07-13 17:30:18.000000 	N/A	Disabled
3256	1020	svchost.exe	0x80052c9dc080	7	-	0	False	2024-07-13 17:30:18.000000 	N/A	Disabled
3332	4	MemCompression	0x80052ca17040	55	-	N/A	False	2024-07-13 17:30:18.000000 	N/A	Disabled
3376	1020	svchost.exe	0x80052c9c5080	2	-	0	False	2024-07-13 17:30:18.000000 	N/A	Disabled
3404	1020	svchost.exe	0x80052cb70080	2	-	0	False	2024-07-13 17:30:18.000000 	N/A	Disabled
3412	1020	svchost.exe	0x80052cbba080	5	-	0	False	2024-07-13 17:30:18.000000 	N/A	Disabled
3464	1020	svchost.exe	0x80052cbe4080	4	-	0	False	2024-07-13 17:30:18.000000 	N/A	Disabled
3616	1020	svchost.exe	0x80052cdea0c0	7	-	0	False	2024-07-13 17:30:18.000000 	N/A	Disabled
3768	1020	svchost.exe	0x80052cf56080	2	-	0	False	2024-07-13 17:30:18.000000 	N/A	Disabled
3816	1020	svchost.exe	0x80052cfac080	11	-	0	False	2024-07-13 17:30:19.000000 	N/A	Disabled
3844	1020	svchost.exe	0x80052cf76080	3	-	0	False	2024-07-13 17:30:19.000000 	N/A	Disabled
3440	1020	svchost.exe	0x80052d10d080	3	-	0	False	2024-07-13 17:30:19.000000 	N/A	Disabled
3196	1020	svchost.exe	0x80052d17a080	16	-	0	False	2024-07-13 17:30:19.000000 	N/A	Disabled
3880	1020	svchost.exe	0x80052d184080	4	-	0	False	2024-07-13 17:30:19.000000 	N/A	Disabled
4168	1020	svchost.exe	0x80052d1b80c0	2	-	0	False	2024-07-13 17:30:19.000000 	N/A	Disabled
4232	1020	spoolsv.exe	0x80052d1d60c0	7	-	0	False	2024-07-13 17:30:19.000000 	N/A	Disabled
4272	1020	svchost.exe	0x80052d2870c0	12	-	0	False	2024-07-13 17:30:19.000000 	N/A	Disabled
4396	3196	wlanext.exe	0x80052d28c080	2	-	0	False	2024-07-13 17:30:19.000000 	N/A	Disabled
4432	4396	conhost.exe	0x80052d293080	2	-	0	False	2024-07-13 17:30:19.000000 	N/A	Disabled
4488	1020	svchost.exe	0x80052d2f9080	5	-	0	False	2024-07-13 17:30:19.000000 	N/A	Disabled
4596	1020	svchost.exe	0x80052d330080	2	-	0	False	2024-07-13 17:30:19.000000 	N/A	Disabled
4608	1020	Dell.TechHub.e	0x80052d333080	30	-	0	False	2024-07-13 17:30:19.000000 	N/A	Disabled
4616	1020	svchost.exe	0x80052d331080	18	-	0	False	2024-07-13 17:30:19.000000 	N/A	Disabled
4628	1020	svchost.exe	0x80052d332080	15	-	0	False	2024-07-13 17:30:19.000000 	N/A	Disabled
4640	1020	OfficeClickToR	0x80052d3350c0	19	-	0	False	2024-07-13 17:30:19.000000 	N/A	Disabled
4648	1020	ipfsvc.exe	0x80052d338080	8	-	0	False	2024-07-13 17:30:19.000000 	N/A	Disabled
4676	1020	FNPLicensingSe	0x80052d34a080	10	-	0	False	2024-07-13 17:30:19.000000 	N/A	Disabled
4688	1020	esif_uf.exe	0x80052d337080	4	-	0	False	2024-07-13 17:30:19.000000 	N/A	Disabled
4820	1020	svchost.exe	0x80052d32a080	8	-	0	False	2024-07-13 17:30:19.000000 	N/A	Disabled
4844	1020	IntelAudioServ	0x80052d32c080	5	-	0	False	2024-07-13 17:30:19.000000 	N/A	Disabled
4904	1020	ipf_uf.exe	0x80052d44d080	3	-	0	False	2024-07-13 17:30:19.000000 	N/A	Disabled
4916	1020	svchost.exe	0x80052d449080	7	-	0	False	2024-07-13 17:30:19.000000 	N/A	Disabled
4956	1020	jhi_service.ex	0x80052d4b9080	2	-	0	False	2024-07-13 17:30:19.000000 	N/A	Disabled
4992	1020	mc-fw-host.exe	0x80052d4d7080	143	-	0	False	2024-07-13 17:30:19.000000 	N/A	Disabled
5036	1020	servicehost.ex	0x80052d509080	129	-	0	False	2024-07-13 17:30:19.000000 	N/A	Disabled
5044	1020	MpDefenderCore	0x80052d50a080	9	-	0	False	2024-07-13 17:30:19.000000 	N/A	Disabled
5080	1020	svchost.exe	0x80052d531080	6	-	0	False	2024-07-13 17:30:19.000000 	N/A	Disabled
